Sort Method;Input Size;Order Type;Average Time (s)
merge;1000;ascending;0.0019981861114501953
merge;1000;descending;0.0020003318786621094
merge;1000;random;0.002001523971557617
merge;10000;ascending;0.021960735321044922
merge;10000;descending;0.023999929428100586
merge;10000;random;0.029001474380493164
merge;100000;ascending;0.27773046493530273
merge;100000;descending;0.2699565887451172
merge;100000;random;0.3230011463165283
merge;1000000;ascending;3.179173469543457
merge;1000000;descending;3.3517661094665527
merge;1000000;random;4.450617074966431
merge;5000000;ascending;17.89513611793518
merge;5000000;descending;18.120677947998047
merge;5000000;random;24.696269989013672
shell;1000;ascending;0.0005240440368652344
shell;1000;descending;0.001580953598022461
shell;1000;random;0.002190113067626953
shell;10000;ascending;0.014091730117797852
shell;10000;descending;0.02259516716003418
shell;10000;random;0.033000946044921875
shell;100000;ascending;0.16699886322021484
shell;100000;descending;0.27300405502319336
shell;100000;random;0.5638046264648438
shell;1000000;ascending;1.903421401977539
shell;1000000;descending;3.1040186882019043
shell;1000000;random;10.672900676727295
shell;5000000;ascending;10.870099306106567
shell;5000000;descending;16.92000460624695
shell;5000000;random;78.63128662109375
quick;1000;ascending;0.0010004043579101562
quick;1000;descending;0.0
quick;1000;random;0.0009982585906982422
quick;10000;ascending;0.009978294372558594
quick;10000;descending;0.009995460510253906
quick;10000;random;0.01499485969543457
quick;100000;ascending;0.12404894828796387
quick;100000;descending;0.12399649620056152
quick;100000;random;0.18499755859375
quick;1000000;ascending;1.3250136375427246
quick;1000000;descending;1.3253273963928223
quick;1000000;random;2.5968005657196045
quick;5000000;ascending;7.189255475997925
quick;5000000;descending;7.418252229690552
quick;5000000;random;16.037938594818115
