Algoritmo;Entrada;Tempo
merge;100-aleatoria;1.0923076923076924e-05
merge;100-ascendente;7.538461538461538e-06
merge;100-descendente;7.923076923076922e-06
merge;1000-aleatoria;0.0001166923076923077
merge;1000-ascendente;6.86923076923077e-05
merge;1000-descendente;6.892307692307693e-05
merge;10000-aleatoria;0.001603692307692308
merge;10000-ascendente;0.0009568461538461538
merge;10000-descendente;0.0012557692307692307
merge;100000-aleatoria;0.015785076923076923
merge;100000-ascendente;0.00887776923076923
merge;100000-descendente;0.009041846153846154
merge;1000000-aleatoria;0.18229138461538463
merge;1000000-ascendente;0.10109438461538464
merge;1000000-descendente;0.1010433076923077
merge;50000-aleatoria;0.007505307692307691
merge;50000-ascendente;0.004228923076923076
merge;50000-descendente;0.004191692307692308
merge;500000-aleatoria;0.08710492307692307
merge;500000-ascendente;0.04839107692307692
merge;500000-descendente;0.04915761538461538
merge;5000000-aleatoria;1.0078604615384614
merge;5000000-ascendente;0.5475633846153847
merge;5000000-descendente;0.5439910769230769
quick;100-aleatoria;6.999999999999998e-06
quick;100-ascendente;2.123076923076923e-05
quick;100-descendente;1.7153846153846155e-05
quick;1000-aleatoria;7.63076923076923e-05
quick;1000-ascendente;0.0023879230769230765
quick;1000-descendente;0.0024926923076923073
quick;10000-aleatoria;0.0012690000000000002
quick;10000-ascendente;0.1687350769230769
quick;10000-descendente;0.1336206923076923
quick;100000-aleatoria;0.01183969230769231
quick;100000-ascendente;17.248366307692308
quick;100000-descendente;13.638387923076923
quick;1000000-aleatoria;0.1405610769230769
quick;1000000-ascendente;1725.9961308461538
quick;1000000-descendente;1362.562481923077
quick;50000-aleatoria;0.006139076923076923
quick;50000-ascendente;4.355125615384615
quick;50000-descendente;3.4084390000000004
quick;500000-aleatoria;0.06598084615384615
quick;500000-ascendente;428.4078327692307
quick;500000-descendente;341.71005923076916
quick;5000000-aleatoria;0.7816659230769231
quick;5000000-ascendente;42967.5011050000
quick;5000000-descendente;34204.9848050000
shell;100-aleatoria;7.384615384615384e-06
shell;100-ascendente;1.9230769230769234e-06
shell;100-descendente;3.615384615384615e-06
shell;1000-aleatoria;0.00011746153846153845
shell;1000-ascendente;2.346153846153846e-05
shell;1000-descendente;3.976923076923077e-05
shell;10000-aleatoria;0.001828846153846154
shell;10000-ascendente;0.0005255384615384615
shell;10000-descendente;0.0010574615384615386
shell;100000-aleatoria;0.02355323076923077
shell;100000-ascendente;0.0040420000000000005
shell;100000-descendente;0.006455076923076924
shell;1000000-aleatoria;0.3348924615384616
shell;1000000-ascendente;0.04373676923076923
shell;1000000-descendente;0.07147346153846154
shell;50000-aleatoria;0.010993846153846153
shell;50000-ascendente;0.0018170000000000003
shell;50000-descendente;0.003020923076923077
shell;500000-aleatoria;0.1490316923076923
shell;500000-ascendente;0.021571461538461536
shell;500000-descendente;0.03393161538461538
shell;5000000-aleatoria;2.2073665384615384
shell;5000000-ascendente;0.2484376153846154
shell;5000000-descendente;0.4076247692307693
